id|English|Español
NORMALS_COMPARISON_PROGRESS|Comparison progress:|Progreso de la comparación:
NORMALS_COMPARISON_SECOND|Second cloud|Segunda nube
NORMALS_COMPARISON_TABNAME|Normals comparison|Comparación de normales
NORMALS_COMPUTE_END|Finishing normal computation...|Finalizando cómputo de normales...
NORMALS_COMPUTE_RUN|Compute|Computar
NORMALS_COMPUTE_START|Starting normal computation...|Iniciando cómputo de normales...
NORMALS_COMPUTE_TABNAME|Normals computation|Cómputo de normales
NURBSS_SCENEITEM_DEGREE|Nurbss Degree|Grado de la Nurbss
NURBSS_SCENEITEM_SUBDIVISIONS|Internal subdivisions|Subdivisiones internas
NURBSS_SCENEITEM_DENSITY|Density multiplier|Multiplicador de densidad
NURBSS_SCENEITEM_GENERATE|Generate nurbs cloud|Generar nube con nurbs
NURBSS_SCENEITEM_POINT_DISTRIBUTION|Generate points based on internal point distribution|Generar puntos basandonos en la distribución interna de los puntos
PICKING_AREAPOINTS|Area picking|Selección de área
PICKING_BEGIN|Start picking|Iniciar selección
PICKING_CLEARHISTORY|Clear history|Limpiar historial
PICKING_COUNT|Picked count|Puntos seleccionados
PICKING_DATA|Picked data|Datos de la selección
PICKING_POINT_TEMPERATURE|Temperature|Temperatura
PICKING_POINT_PRECISION|Point picking precision|Precisión al seleccionar puntos
PICKING_SELECT_VALUE_PRECISION|Value comparision precision|Precisión de la comparación
PICKING_SELECT_THERMAL|Select same temperature points|Seleccionar puntos con misma temperatura
PICKING_TITLE|Point cloud picking|Selección en nube de puntos
PICKING_METHOD|Picking method|Modo de selección
PICKING_SINGLEPOINT|Single point|Punto
PICKING_SINGLEPOINT_TOOLTIP|Use left click to select nearest point to cursor position.|Utilize el botón izquierdo del ratón para seleccionar el punto más cercano al puntero.
PICKING_AREAPOINT|Points area|Área de puntos
PICKING_AREA_TOOLTIP|Press and hold left click to select all points in marked region.|Pulse y mantenga el botón izquierdo del ratón para seleccionar los puntos dentro de la región marcada.
PICKING_BOTHAREAS|Area points & meshlets|Área de puntos y meshlets
PICKING_FOCUSMESHLET|Single meshlet|Meshlet
PICKING_FOCUSMESHLET_TOOLTIP|Use left click to select nearest meshlet to cursor position.|Utilize el botón izquierdo del ratón para seleccionar el meshlet más cercano al puntero.
PICKING_AREAMESHLET|Meshlets area|Área de meshlets
PICKING_AREAMESHLET_TOOLTIP|Press and hold left click to select all meshlets in marked region.|Pulse y mantenga el botón izquierdo del ratón para seleccionar los meshlets dentro de la región marcada.
PICKING_STATS|Selection|Selección
PICKING_STATS_COUNT|Selection count|Elementos seleccionados
PICKING_STATS_DATAFUSED|Fused data|Datos de fusión
PICKING_GIZMO|Selection markers|Marcadores de selección
PICKING_GIZMO_SHOW|Show selection gizmos|Ver marcadores de selección
PICKING_GIZMO_SHOWDEBUG|Show debug gizmos|Ver marcadores de depuración
PICKING_GIZMO_COLOR|Color|Color
PICKING_GIZMO_THICKNESS|Thickness|Grosor
PICKING_ELAPSEDTIME|Elapsed picking time:|Tiempo de selección:
PICKING_STATISTICS|Statistics|Estadísticas
PICKING_STATS_ALLPOINTS|AllPoints|AllPoints
PICKING_STATS_MEANLETS|Meanlets|Meanlets
POINT_CLOUD_VALIDATION|Point cloud for validation|Nube de puntos para validación
POPUP_CLOUDCLASS|Clasiffication|Clasificación
POPUP_CLOUDCLASS_INFO|Use classification?|¿Usar clasificación?
POPUP_CONFIRM_SAVE|Save changes?|¿Guardar cambios?
POPUP_ERROR|Error|Error
POPUP_EXPORT_CLOUD|Export point cloud|Exportar nube de puntos
POPUP_INFO|Information|Información
POPUP_OPEN_FILE|Open file|Abrir fichero
POPUP_OPEN_IMAGE|Open image|Abrir imagen
POPUP_OPEN_SCENE|Open scene|Abrir escena
POPUP_PROGRESS_CLOSEONEND|Close on end|Cerrar al finalizar
POPUP_PROGRESS_DOWNLOADING|Downloading...|Descargando...
POPUP_PROGRESS_OPENINGCLOUD|Opening point cloud...|Abriendo nube de puntos...
POPUP_PROGRESS_SORTINGCLOUD|Spatially sorting point cloud...|Ordenando espacialmente la nube de puntos...
POPUP_PROGRESS_MERGINGCLOUD|Merging point clouds...|Uniendo nubes de puntos...
POPUP_PROGRESS_OPENINGMESH|Opening 3D model...|Abriendo modelo 3D...
POPUP_PROGRESS_UPLOADING|Uploading...|Subiendo...
POPUP_RAWDBDATA|Select data|Seleccionar datos
POPUP_RAWDBDATA_CURRENTSELECT|Current selection:|Selección actual:
POPUP_RAWDBDATA_NOSELECT|No item selected|No hay selección
POPUP_SAVE_SCENE|Save scene|Guardar escena
POPUP_UNSAVED_QUIT|Unsaved changes, quit anyway?|Existen cambios sin guardar. ¿Salir de la aplicación?
POPUP_UNSAVED_WARN|Unsaved changes, continue?|Existen cambios sin guardar. ¿Continuar?
POPUP_WARNING|Warning|Aviso
RECOMPILE_SHADERS|Recompile shaders|Recompilar shaders
RECONSTRUCCION_CLOUD_CLASSIFICATION|Only classified clouds|Solo nubes clasificadas
RECONSTRUCCION_RGB_REGION_SEGMENTATION_TABNAME|RGB region segmentation|Segmentación de regiones RGB
